City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Myanaung,MM,75.94,overcast clouds,18.2833,95.3167,Taung Hlay Khar
8,Ponta Do Sol,PT,75.43,clear sky,32.6667,-17.1,Hotel do Campo
10,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Jamestown,US,77.72,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Maunabo,PR,84.02,clear sky,18.0072,-65.8993,Parador Maunacaribe
26,Bayamo,CU,80.87,overcast clouds,20.3792,-76.6433,Villa Luisa TCV
28,Prainha,BR,79.56,broken clouds,-1.8,-53.48,Casa Rocha
32,Albany,US,85.08,few clouds,42.6001,-73.9662,
33,Carupano,VE,78.08,clear sky,10.6678,-63.2585,Hotel La dorada
36,Xushan,CN,85.93,clear sky,30.1764,121.2457,Hangzhou Bay Hotel
38,Nishihara,JP,85.28,few clouds,26.1842,127.7558,Minshuku Agaihama
41,Pasighat,IN,77.9,overcast clouds,28.0667,95.3333,Siang Guest House
43,Bacolod,PH,80.13,overcast clouds,10.6667,122.95,Planta Hotel & Residences
45,Cochrane,CA,77.63,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
46,Kalmunai,LK,79.63,overcast clouds,7.4167,81.8167,VS Villa
48,Kavaratti,IN,80.94,broken clouds,10.5669,72.642,Green leaf
52,Kapaa,US,78.71,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Nalbari,IN,78.78,overcast clouds,26.4456,91.4354,Ganesh Hotel
58,Banff,CA,77.38,broken clouds,51.1762,-115.5698,Banff Aspen Lodge
64,Kanigiri,IN,80.31,overcast clouds,15.4,79.5167,COMFORT INN
69,Sao Miguel,BR,77.77,broken clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
70,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Pirineos
73,Hambantota,LK,79.34,overcast clouds,6.1241,81.1185,Bungalow 63
77,Goderich,CA,80.92,scattered clouds,43.7501,-81.7165,Harmony Inn
79,Bismarck,US,79.66,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
80,Linxi,CN,75.43,clear sky,39.7,118.4333,Peace Hotel
82,Pemangkat,ID,77.81,overcast clouds,1.1667,108.9667,Ramah Kost KITA
83,Fukue,JP,80.35,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
85,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
96,Salinas,US,83.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
100,Cabo San Lucas,MX,78.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
101,Ravar,IR,84.51,clear sky,31.2656,56.8055,computertik
102,Rajula,IN,79.57,overcast clouds,21.05,71.4333,Lion Lords Inn Rajula
105,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
107,Olot,ES,77.54,clear sky,42.181,2.4901,Hotel Riu Fluvià
111,Mansa,IN,84.63,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
