City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,9.22,clear sky
1,Ribeira Grande,PT,38.5167,-28.7,74.32,87,51,5.79,broken clouds
2,Ushuaia,AR,-54.8,-68.3,33.46,86,75,14.97,light snow
3,Arlit,NE,18.7369,7.3853,93.47,27,91,6.2,overcast clouds
4,Boguchany,RU,58.3814,97.4531,57.52,89,75,4.59,broken clouds
5,Arrifes,PT,37.7667,-25.7,73.24,88,20,6.91,few clouds
6,Myanaung,MM,18.2833,95.3167,75.94,91,100,3.91,overcast clouds
7,Champasak,LA,14.75,106.0,71.74,99,88,1.97,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,75.43,69,3,2.66,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,50.45,71,36,2.91,scattered clouds
10,Butaritari,KI,3.0707,172.7902,81.39,80,25,15.86,light rain
11,Jamestown,US,42.097,-79.2353,77.72,81,75,0.0,broken clouds
12,Bilma,NE,18.6853,12.9164,92.43,23,8,4.68,clear sky
13,East London,ZA,-33.0153,27.9116,57.85,65,64,21.72,broken clouds
14,Tasiilaq,GL,65.6145,-37.6368,38.68,84,100,7.87,overcast clouds
15,Zonguldak,TR,41.25,31.8333,55.98,86,0,4.54,clear sky
16,Kisangani,CD,0.5167,25.2,70.18,97,100,2.46,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,78,5.99,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,55.38,72,20,10.36,few clouds
19,Maunabo,PR,18.0072,-65.8993,84.02,80,5,11.9,clear sky
20,Hermanus,ZA,-34.4187,19.2345,53.37,68,66,4.61,broken clouds
21,Caravelas,BR,-17.7125,-39.2481,70.59,76,0,6.64,clear sky
22,Rikitea,PF,-23.1203,-134.9692,72.91,63,0,8.39,clear sky
23,Onega,RU,63.9061,38.1404,58.51,99,100,4.72,overcast clouds
24,Saint George,US,37.1041,-113.5841,104.63,18,0,13.8,clear sky
25,Betong,TH,5.7743,101.0723,70.21,99,95,2.01,overcast clouds
26,Bayamo,CU,20.3792,-76.6433,80.87,76,100,9.22,overcast clouds
27,Olafsvik,IS,64.8945,-23.7142,51.57,85,38,9.26,scattered clouds
28,Prainha,BR,-1.8,-53.48,79.56,70,67,2.48,broken clouds
29,Vila Velha,BR,-20.3297,-40.2925,73.35,87,20,5.75,few clouds
30,Bluff,NZ,-46.6,168.3333,38.8,82,43,5.01,scattered clouds
31,Peniche,PT,39.3558,-9.3811,66.29,91,0,10.16,clear sky
32,Albany,US,42.6001,-73.9662,85.08,48,19,3.4,few clouds
33,Carupano,VE,10.6678,-63.2585,78.08,82,5,10.94,clear sky
34,Codrington,AU,-38.2667,141.9667,49.26,93,5,6.31,clear sky
35,Vestmannaeyjar,IS,63.4427,-20.2734,54.03,86,100,6.69,overcast clouds
36,Xushan,CN,30.1764,121.2457,85.93,86,8,5.14,clear sky
37,Pevek,RU,69.7008,170.3133,36.07,84,96,4.23,overcast clouds
38,Nishihara,JP,26.1842,127.7558,85.28,84,20,3.44,few clouds
39,Norman Wells,CA,65.282,-126.8329,65.28,59,100,6.98,overcast clouds
40,Chuy,UY,-33.6971,-53.4616,61.9,89,79,6.96,broken clouds
41,Pasighat,IN,28.0667,95.3333,77.9,79,99,1.1,overcast clouds
42,Hobart,AU,-42.8794,147.3294,48.27,93,75,3.44,broken clouds
43,Bacolod,PH,10.6667,122.95,80.13,84,91,3.31,overcast clouds
44,Jinchang,CN,38.4953,102.1739,74.16,27,32,8.7,scattered clouds
45,Cochrane,CA,51.1834,-114.4687,77.63,46,0,10.36,clear sky
46,Kalmunai,LK,7.4167,81.8167,79.63,82,100,1.45,overcast clouds
47,Te Anau,NZ,-45.4167,167.7167,42.35,87,60,1.05,broken clouds
48,Kavaratti,IN,10.5669,72.642,80.94,77,67,16.35,broken clouds
49,Maarianhamina,AX,60.0973,19.9348,57.06,77,0,6.91,clear sky
50,Barrow,US,71.2906,-156.7887,37.42,87,100,12.66,overcast clouds
51,Laguna,US,38.421,-121.4238,97.36,11,0,9.75,clear sky
52,Kapaa,US,22.0752,-159.319,78.71,69,12,13.73,few clouds
53,Nalbari,IN,26.4456,91.4354,78.78,96,100,5.7,overcast clouds
54,New Norfolk,AU,-42.7826,147.0587,47.91,86,100,2.1,light rain
55,Burnie,AU,-41.0667,145.9167,54.91,92,100,4.83,overcast clouds
56,Ongandjera,NA,-17.8833,15.0667,63.64,31,0,6.06,clear sky
57,Dubai,AE,25.2582,55.3047,93.58,61,67,4.76,broken clouds
58,Banff,CA,51.1762,-115.5698,77.38,25,70,5.75,broken clouds
59,Harper,LR,4.375,-7.7169,74.77,75,74,7.92,broken clouds
60,Arraial Do Cabo,BR,-22.9661,-42.0278,72.03,87,6,21.12,clear sky
