City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Prestea,5.4327,-2.1428,67.8,86,18,1.48,GH,2022-07-21 02:26:27
1,Punta Arenas,-53.15,-70.9167,32.11,80,20,17.27,CL,2022-07-21 02:26:28
2,Ushuaia,-54.8,-68.3,29.86,80,75,21.85,AR,2022-07-21 02:21:32
3,Lebu,-37.6167,-73.65,51.26,95,100,7.27,CL,2022-07-21 02:21:38
4,Tuktoyaktuk,69.4541,-133.0374,50.0,93,75,9.22,CA,2022-07-21 02:26:29
5,Albany,42.6001,-73.9662,84.85,68,20,4.45,US,2022-07-21 02:24:38
6,Lasa,46.6166,10.7002,65.35,88,15,1.99,IT,2022-07-21 02:26:29
7,Hilo,19.7297,-155.09,82.27,73,40,9.22,US,2022-07-21 02:26:30
8,Karpogory,64.0019,44.4451,62.38,80,0,0.67,RU,2022-07-21 02:26:30
9,Rikitea,-23.1203,-134.9692,73.42,77,0,6.76,PF,2022-07-21 02:26:31
10,Muisne,0.6,-80.0333,73.74,85,100,7.38,EC,2022-07-21 02:26:31
11,Qaanaaq,77.484,-69.3632,39.94,83,100,5.08,GL,2022-07-21 02:21:49
12,Pangody,65.85,74.4859,50.95,72,100,10.36,RU,2022-07-21 02:26:31
13,Liverpool,53.4106,-2.9779,61.61,80,75,12.66,GB,2022-07-21 02:24:09
14,Inhambane,-23.865,35.3833,66.9,86,0,5.26,MZ,2022-07-21 02:26:32
15,Arinos,-15.9169,-46.1056,64.62,50,0,1.01,BR,2022-07-21 02:26:33
16,Tiksi,71.6872,128.8694,41.41,81,18,22.15,RU,2022-07-21 02:26:33
17,Seriate,45.6834,9.7229,81.7,51,0,6.91,IT,2022-07-21 02:26:33
18,Faanui,-16.4833,-151.75,78.1,71,5,11.36,PF,2022-07-21 02:26:34
19,Bethel,41.3712,-73.414,82.36,76,0,5.03,US,2022-07-21 02:23:03
20,Busselton,-33.65,115.3333,59.56,77,59,15.86,AU,2022-07-21 02:26:35
21,Mataura,-46.1927,168.8643,46.47,78,100,4.27,NZ,2022-07-21 02:26:35
22,Kodiak,57.79,-152.4072,60.31,63,20,10.36,US,2022-07-21 02:26:35
23,Palora,-1.7,-77.9333,63.48,94,100,2.84,EC,2022-07-21 02:26:36
24,Butaritari,3.0707,172.7902,81.18,78,98,9.04,KI,2022-07-21 02:26:36
25,Ballina,-28.8667,153.5667,62.02,82,100,18.54,AU,2022-07-21 02:26:37
26,Hobart,-42.8794,147.3294,50.25,73,20,8.05,AU,2022-07-21 02:22:24
27,Narrabri,-30.3167,149.7833,63.52,55,99,5.01,AU,2022-07-21 02:26:37
